difficulty,text,answers
1,What is 5 + 3?,8
1,What is 10 - 4?,6
1,What is 7 × 2?,14
1,What is 20 ÷ 4?,5
1,What is half of 16?,8
1,What is 9 + 6?,15
1,What is 12 - 5?,7
1,What is 3 × 4?,12
1,What is 18 ÷ 3?,6
1,What is double of 7?,14
2,Solve: 45 ÷ 9 × 3,15
2,The square root of 784 is,28
2,A train travels 120 km in 2 hours. What is its average speed?,60 km/h
2,A shopkeeper bought an article for ₹400 and sold it for ₹480. What is the profit percentage?,20%
2,Simplify: (3/4) × (8/9),2/3
2,A person spends 1/3 of salary on rent 1/4 on food and saves the rest. If salary = ₹12000 how much does he save?,5000
2,What is 15% of 640?,96
2,If 3x + 2 = 11 find x,3
2,The perimeter of a rectangle is 60 cm. If its length is 20 cm what is its breadth?,10 cm
2,A sum of ₹5000 earns simple interest of ₹1000 in 5 years. What is the rate of interest?,4%
3,Solve: (2x + 3)(x - 4) = 0. Find both values of x,x = -3/2 or x = 4
3,Find the compound interest on ₹10000 at 10% per annum for 3 years,₹3310
3,Find the HCF of 24 and 36,12
3,A cone has base radius 7 cm and height 24 cm. What is its volume?,1232 cm³
3,Solve the quadratic equation: x² - 7x + 12 = 0,x = 3 or x = 4
3,The sum of an arithmetic progression with first term 3 common difference 4 and 15 terms is,465
3,If sin θ = 3/5 and θ is acute what is cos θ?,4/5
3,Find the LCM of 12 and 18,36
3,A bag contains 5 red 3 blue and 2 green balls. What is the probability of drawing a red ball?,1/2
3,If the roots of x² - 5x + 6 = 0 are α and β find α + β,5
